ClienteID,Sexo,EstadoCivil,DomicilioDepartamento,DomicilioProvincia,DomicilioDistrito,FechaNacimiento,TipoPersona,VentaID
163584,femenino,casado,callao,callao,la perla,1990-06-23 00:00:00,persona natural,123424
163692,femenino,soltero,callao,callao,bellavista,1985-11-14 00:00:00,persona natural,123440
163726,femenino,soltero,callao,callao,ventanilla,1979-08-22 00:00:00,persona natural,123444
163615,masculino,soltero,lima,lima,san martin de porres,1976-07-14 00:00:00,persona natural,123452
163744,masculino,soltero,junin,tarma,tarma,1987-08-08 00:00:00,persona natural,123466
163736,femenino,soltero,lima,lima,miraflores,1958-07-04 00:00:00,persona natural,123537
163774,masculino,soltero,lima,lima,s.j.de lurigancho,1991-03-15 00:00:00,persona natural,123538
163875,masculino,soltero,lima,lima,san luis,1966-11-05 00:00:00,persona natural,123573
116142,NO ESPECIFICA,"",lima,lima,ate,2012-05-28 00:00:00,persona jurídica,123588
163902,femenino,casado,lima,lima,la molina,1962-03-22 00:00:00,persona natural,123618
163891,masculino,soltero,lima,lima,independencia,1978-01-14 00:00:00,persona natural,123619
163966,femenino,soltero,ancash,huaraz,huaraz,1981-01-27 00:00:00,persona natural,123646
163950,NO ESPECIFICA,"",lima,lima,magdalena del mar,2002-02-17 00:00:00,persona jurídica,123660
163996,masculino,soltero,lima,lima,pueblo libre,1988-09-22 00:00:00,persona natural,123669
164100,masculino,casado,lima,lima,s.j.de lurigancho,1968-08-11 00:00:00,persona natural,123688
164056,femenino,soltero,lima,lima,rimac,1988-12-16 00:00:00,persona natural,123704
164057,masculino,divorciado,lima,lima,rimac,1981-01-20 00:00:00,persona natural,123716
163760,masculino,soltero,lima,lima,comas,1989-03-05 00:00:00,persona natural,123717
164034,masculino,casado,lima,lima,comas,1986-01-16 00:00:00,persona natural,123724
164016,masculino,soltero,lima,lima,san juan de miraflores,1991-07-20 00:00:00,persona natural,123737
163983,femenino,casado,lima,lima,puente piedra,1981-06-22 00:00:00,persona natural,123739
