VentaID,FechaVenta,DepartamentoVenta,ProvinciaVenta,DistritoVenta,EquipoVenta
123424,2016-01-05,callao,callao,bellavista,relampagos
123440,2016-01-05,callao,callao,bellavista,relampagos
123444,2016-01-05,lima,lima,independencia,relampagos
123452,2016-01-05,lima,lima,independencia,relampagos
123466,2016-01-05,lima,lima,santiago de surco,relampagos
123537,2016-01-06,lima,lima,independencia,relampagos
123538,2016-01-06,lima,lima,independencia,relampagos
123573,2016-01-07,lima,lima,santiago de surco,relampagos
123588,2016-01-07,lima,lima,santiago de surco,relampagos
123618,2016-01-08,lima,lima,santiago de surco,relampagos
123619,2016-01-08,lima,lima,independencia,relampagos
123646,2016-01-08,lima,lima,independencia,relampagos
123660,2016-01-09,lima,lima,san isidro,relampagos
123669,2016-01-09,lima,lima,san isidro,relampagos
123688,2016-01-11,lima,lima,independencia,relampagos
123704,2016-01-11,lima,lima,independencia,relampagos
123716,2016-01-11,lima,lima,independencia,relampagos
123717,2016-01-11,lima,lima,independencia,relampagos
123724,2016-01-11,lima,lima,independencia,relampagos
123737,2016-01-11,lima,lima,independencia,relampagos
123739,2016-01-11,lima,lima,independencia,relampagos
123741,2016-01-11,lima,lima,santiago de surco,relampagos
123755,2016-01-11,lima,lima,independencia,relampagos
123795,2016-01-12,lima,lima,independencia,relampagos
123796,2016-01-12,lima,lima,san isidro,relampagos
123841,2016-01-13,lima,lima,san isidro,relampagos
123857,2016-01-13,lima,lima,independencia,relampagos
123893,2016-01-14,lima,lima,san isidro,relampagos
123896,2016-01-14,lima,lima,san isidro,relampagos
123929,2016-01-14,lima,lima,independencia,relampagos
123947,2016-01-15,lima,lima,independencia,relampagos
124003,2016-01-16,lima,lima,independencia,relampagos
124032,2016-01-18,lima,lima,independencia,relampagos
124033,2016-01-18,lima,lima,santiago de surco,relampagos
124038,2016-01-18,lima,lima,santiago de surco,relampagos
124078,2016-01-18,lima,lima,independencia,relampagos
124080,2016-01-18,lima,lima,independencia,relampagos
124087,2016-01-18,lima,lima,independencia,relampagos
124113,2016-01-18,lima,lima,independencia,relampagos
124166,2016-01-19,lima,lima,independencia,relampagos
124168,2016-01-19,callao,callao,bellavista,relampagos
124226,2016-01-20,lima,lima,san isidro,relampagos
124234,2016-01-20,lima,lima,independencia,relampagos
124236,2016-01-20,lima,lima,independencia,relampagos
124332,2016-01-21,lima,lima,san isidro,relampagos
124340,2016-01-21,lima,lima,independencia,relampagos
124348,2016-01-21,lima,lima,independencia,relampagos
124349,2016-01-21,lima,lima,independencia,relampagos
124375,2016-01-21,lima,lima,independencia,relampagos
124376,2016-01-21,lima,lima,independencia,relampagos
124423,2016-01-21,lima,lima,independencia,relampagos
124462,2016-01-22,lima,lima,santiago de surco,relampagos
124465,2016-01-22,lima,lima,independencia,relampagos
124521,2016-01-25,lima,lima,independencia,relampagos
124527,2016-01-25,lima,lima,independencia,relampagos
124537,2016-01-25,lima,lima,independencia,relampagos
124545,2016-01-25,lima,lima,independencia,relampagos
124554,2016-01-25,lima,lima,independencia,relampagos
124566,2016-01-25,lima,lima,independencia,relampagos
124625,2016-01-25,lima,lima,independencia,relampagos
124645,2016-01-26,lima,lima,independencia,relampagos
124693,2016-01-26,lima,lima,independencia,relampagos
124711,2016-01-27,lima,lima,santiago de surco,relampagos
124737,2016-01-27,lima,lima,independencia,relampagos
124793,2016-01-28,lima,lima,independencia,relampagos
124795,2016-01-28,lima,lima,independencia,relampagos
124879,2016-01-29,lima,lima,independencia,relampagos
124893,2016-01-29,lima,lima,independencia,relampagos
124984,2016-01-30,callao,callao,bellavista,relampagos
124989,2016-01-30,lima,lima,independencia,relampagos
124991,2016-01-30,lima,lima,independencia,relampagos
125036,2016-01-31,lima,lima,independencia,relampagos
125042,2016-01-31,lima,lima,independencia,relampagos
125046,2016-01-31,lima,lima,independencia,relampagos
125064,2016-01-31,lima,lima,independencia,relampagos
125066,2016-01-31,lima,lima,independencia,relampagos
125074,2016-01-31,lima,lima,independencia,relampagos
125092,2016-01-31,lima,lima,independencia,relampagos
125150,2016-01-31,lima,lima,independencia,relampagos
125156,2016-01-31,lima,lima,independencia,relampagos
125173,2016-02-02,lima,lima,independencia,relampagos
125187,2016-02-02,lima,lima,independencia,relampagos
125228,2016-02-03,lima,lima,independencia,relampagos
125229,2016-02-03,lima,lima,independencia,relampagos
125232,2016-02-03,lima,lima,independencia,relampagos
125236,2016-02-03,lima,lima,independencia,relampagos
125245,2016-02-03,lima,lima,independencia,relampagos
125280,2016-02-04,lima,lima,independencia,relampagos
125306,2016-02-04,lima,lima,santiago de surco,relampagos
125333,2016-02-05,lima,lima,independencia,relampagos
125374,2016-02-08,lima,lima,independencia,relampagos
125389,2016-02-08,lima,lima,independencia,relampagos
125404,2016-02-08,lima,lima,independencia,relampagos
125414,2016-02-08,lima,lima,independencia,relampagos
125460,2016-02-09,lima,lima,independencia,relampagos
125558,2016-02-11,lima,lima,independencia,relampagos
125613,2016-02-12,lima,lima,independencia,relampagos
125640,2016-02-15,lima,lima,santiago de surco,relampagos
125667,2016-02-15,lima,lima,independencia,relampagos
125668,2016-02-15,lima,lima,independencia,relampagos
125684,2016-02-15,lima,lima,independencia,relampagos
125698,2016-02-15,lima,lima,santiago de surco,relampagos
125711,2016-02-15,lima,lima,independencia,relampagos
125720,2016-02-16,lima,lima,independencia,relampagos
125741,2016-02-16,lima,lima,santiago de surco,relampagos
125771,2016-02-16,lima,lima,independencia,relampagos
125783,2016-02-17,lima,lima,independencia,relampagos
125810,2016-02-17,lima,lima,san isidro,relampagos
125875,2016-02-18,lima,lima,san isidro,relampagos
125897,2016-02-19,lima,lima,independencia,relampagos
125900,2016-02-19,lima,lima,independencia,relampagos
125909,2016-02-19,lima,lima,independencia,relampagos
125910,2016-02-19,lima,lima,independencia,relampagos
125921,2016-02-19,lima,lima,independencia,relampagos
125924,2016-02-19,callao,callao,bellavista,relampagos
125949,2016-02-20,callao,callao,bellavista,relampagos
125957,2016-02-22,lima,lima,independencia,relampagos
125959,2016-02-22,lima,lima,independencia,relampagos
125965,2016-02-22,lima,lima,independencia,relampagos
125968,2016-02-22,lima,lima,independencia,relampagos
125970,2016-02-22,lima,lima,independencia,relampagos
125994,2016-02-22,lima,lima,independencia,relampagos
126057,2016-02-23,callao,callao,bellavista,relampagos
126071,2016-02-23,lima,lima,santiago de surco,relampagos
126178,2016-02-24,lima,lima,independencia,relampagos
126245,2016-02-25,callao,callao,bellavista,relampagos
126291,2016-02-26,lima,lima,independencia,relampagos
126300,2016-02-26,lima,lima,santiago de surco,relampagos
126349,2016-02-29,lima,lima,independencia,relampagos
126398,2016-02-29,lima,lima,independencia,relampagos
126419,2016-02-29,lima,lima,independencia,relampagos
126432,2016-02-29,lima,lima,independencia,relampagos
126479,2016-02-29,lima,lima,independencia,relampagos
126617,2016-02-29,lima,lima,independencia,relampagos
126625,2016-02-29,lima,lima,independencia,relampagos
126671,2016-03-03,lima,lima,san isidro,relampagos
126688,2016-03-03,lima,lima,independencia,relampagos
126711,2016-03-04,lima,lima,independencia,relampagos
126724,2016-03-04,callao,callao,bellavista,relampagos
126745,2016-03-04,lima,lima,independencia,relampagos
126748,2016-03-04,lima,lima,san isidro,relampagos
126756,2016-03-04,lima,lima,santiago de surco,relampagos
126848,2016-03-07,callao,callao,bellavista,relampagos
126852,2016-03-07,lima,lima,independencia,relampagos
126886,2016-03-08,lima,lima,independencia,relampagos
126945,2016-03-08,lima,lima,independencia,relampagos
126946,2016-03-08,lima,lima,independencia,relampagos
126949,2016-03-08,lima,lima,independencia,relampagos
126973,2016-03-09,lima,lima,san juan de miraflores,relampagos
127074,2016-03-11,lima,lima,independencia,relampagos
127080,2016-03-11,lima,lima,independencia,relampagos
127088,2016-03-11,lima,lima,independencia,relampagos
127096,2016-03-11,lima,lima,independencia,relampagos
127106,2016-03-11,lima,lima,independencia,relampagos
127158,2016-03-14,lima,lima,santiago de surco,relampagos
127185,2016-03-14,lima,lima,independencia,relampagos
127194,2016-03-14,lima,lima,independencia,relampagos
127213,2016-03-14,lima,lima,independencia,relampagos
127214,2016-03-14,lima,lima,independencia,relampagos
127240,2016-03-15,lima,lima,independencia,relampagos
127261,2016-03-15,lima,lima,independencia,relampagos
127281,2016-03-15,lima,lima,independencia,relampagos
127283,2016-03-15,lima,lima,independencia,relampagos
127287,2016-03-15,lima,lima,independencia,relampagos
127289,2016-03-15,lima,lima,independencia,relampagos
127360,2016-03-17,lima,lima,independencia,relampagos
127403,2016-03-17,lima,lima,independencia,relampagos
127409,2016-03-17,callao,callao,bellavista,relampagos
127411,2016-03-17,lima,lima,san juan de miraflores,relampagos
127417,2016-03-17,lima,lima,independencia,relampagos
127429,2016-03-18,lima,lima,independencia,relampagos
127436,2016-03-18,lima,lima,san miguel,relampagos
127465,2016-03-18,lima,lima,independencia,relampagos
127469,2016-03-18,lima,lima,independencia,relampagos
127470,2016-03-18,lima,lima,san isidro,relampagos
127473,2016-03-18,lima,lima,santiago de surco,relampagos
127475,2016-03-18,lima,lima,independencia,relampagos
127502,2016-03-21,lima,lima,independencia,relampagos
127523,2016-03-21,callao,callao,bellavista,relampagos
127525,2016-03-21,lima,lima,santiago de surco,relampagos
127526,2016-03-21,lima,lima,independencia,relampagos
127527,2016-03-21,lima,lima,independencia,relampagos
127541,2016-03-21,callao,callao,bellavista,relampagos
127560,2016-03-21,lima,lima,independencia,relampagos
127605,2016-03-22,lima,lima,surquillo,relampagos
127666,2016-03-22,lima,lima,santiago de surco,relampagos
127690,2016-03-22,lima,lima,independencia,relampagos
127705,2016-03-22,callao,callao,bellavista,relampagos
127718,2016-03-23,lima,lima,independencia,relampagos
127737,2016-03-23,lima,lima,independencia,relampagos
127748,2016-03-23,lima,lima,surquillo,relampagos
127766,2016-03-23,lima,lima,independencia,relampagos
127774,2016-03-23,callao,callao,bellavista,relampagos
127775,2016-03-23,lima,lima,santiago de surco,relampagos
127777,2016-03-23,lima,lima,independencia,relampagos
127810,2016-03-28,lima,lima,independencia,relampagos
127811,2016-03-28,lima,lima,independencia,relampagos
127822,2016-03-28,lima,lima,independencia,relampagos
127823,2016-03-28,lima,lima,independencia,relampagos
127825,2016-03-28,lima,lima,independencia,relampagos
127867,2016-03-28,lima,lima,independencia,relampagos
127875,2016-03-28,lima,lima,santiago de surco,relampagos
127880,2016-03-28,lima,lima,independencia,relampagos
127896,2016-03-28,lima,lima,independencia,relampagos
127973,2016-03-29,lima,lima,independencia,relampagos
128031,2016-03-30,lima,lima,independencia,relampagos
128051,2016-03-30,callao,callao,bellavista,relampagos
128057,2016-03-30,lima,lima,independencia,relampagos
128068,2016-03-30,lima,lima,san isidro,relampagos
128071,2016-03-30,lima,lima,independencia,relampagos
128077,2016-03-30,lima,lima,independencia,relampagos
128090,2016-03-30,lima,lima,independencia,relampagos
128145,2016-03-31,lima,lima,santiago de surco,relampagos
128160,2016-03-31,lima,lima,independencia,relampagos
128167,2016-03-31,lima,lima,independencia,relampagos
128182,2016-03-31,lima,lima,santiago de surco,relampagos
128202,2016-03-31,lima,lima,independencia,relampagos
128260,2016-03-31,lima,lima,independencia,relampagos
128385,2016-03-31,callao,callao,bellavista,relampagos
128393,2016-03-31,lima,lima,santiago de surco,relampagos
128396,2016-03-31,lima,lima,independencia,relampagos
128411,2016-03-31,lima,lima,santiago de surco,relampagos
128412,2016-03-31,lima,lima,independencia,relampagos
128459,2016-04-04,lima,lima,independencia,relampagos
128499,2016-04-04,lima,lima,independencia,relampagos
128506,2016-04-04,lima,lima,santiago de surco,relampagos
128543,2016-04-05,lima,lima,independencia,relampagos
128562,2016-04-05,lima,lima,independencia,relampagos
128572,2016-04-05,lima,lima,santiago de surco,relampagos
128573,2016-04-05,lima,lima,san isidro,relampagos
128582,2016-04-06,lima,lima,independencia,relampagos
128588,2016-04-06,lima,lima,independencia,relampagos
128652,2016-04-07,lima,lima,independencia,relampagos
128654,2016-04-07,lima,lima,independencia,relampagos
128692,2016-04-08,lima,lima,independencia,relampagos
128700,2016-04-08,callao,callao,bellavista,relampagos
128764,2016-04-11,lima,lima,san isidro,relampagos
128765,2016-04-11,lima,lima,santiago de surco,relampagos
128819,2016-04-11,lima,lima,independencia,relampagos
128870,2016-04-12,callao,callao,bellavista,relampagos
128945,2016-04-12,lima,lima,santiago de surco,relampagos
128983,2016-04-13,lima,lima,independencia,relampagos
129046,2016-04-14,callao,callao,bellavista,relampagos
129095,2016-04-14,lima,lima,independencia,relampagos
129099,2016-04-14,lima,lima,independencia,relampagos
129185,2016-04-18,lima,lima,independencia,relampagos
129193,2016-04-18,lima,lima,independencia,relampagos
129198,2016-04-18,lima,lima,independencia,relampagos
129200,2016-04-18,lima,lima,independencia,relampagos
129202,2016-04-18,lima,lima,santiago de surco,relampagos
129239,2016-04-18,lima,lima,santiago de surco,relampagos
129240,2016-04-18,lima,lima,independencia,relampagos
129244,2016-04-18,lima,lima,santiago de surco,relampagos
129369,2016-04-20,lima,lima,independencia,relampagos
129457,2016-04-21,lima,lima,independencia,relampagos
129466,2016-04-21,lima,lima,independencia,relampagos
129487,2016-04-21,lima,lima,independencia,relampagos
129493,2016-04-21,lima,lima,independencia,relampagos
129511,2016-04-22,ica,ica,ica,relampagos
129512,2016-04-22,lima,lima,independencia,relampagos
129541,2016-04-22,lima,lima,independencia,relampagos
129544,2016-04-22,lima,lima,jesus maria,relampagos
129556,2016-04-22,lima,lima,independencia,relampagos
129614,2016-04-25,lima,lima,independencia,relampagos
129652,2016-04-25,lima,lima,independencia,relampagos
129670,2016-04-25,lima,lima,los olivos,relampagos
129691,2016-04-26,lima,lima,independencia,relampagos
129737,2016-04-26,lima,lima,independencia,relampagos
129766,2016-04-27,lima,lima,independencia,relampagos
129878,2016-04-28,lima,lima,independencia,relampagos
129920,2016-04-28,lima,lima,independencia,relampagos
129931,2016-04-29,lima,lima,independencia,relampagos
129938,2016-04-29,lima,lima,independencia,relampagos
129959,2016-04-29,lima,lima,independencia,relampagos
130014,2016-04-29,lima,lima,santiago de surco,relampagos
130037,2016-04-29,lima,lima,independencia,relampagos
130076,2016-04-30,callao,callao,bellavista,relampagos
130144,2016-04-30,lima,lima,independencia,relampagos
130172,2016-04-30,lima,lima,independencia,relampagos
130182,2016-04-30,lima,lima,independencia,relampagos
130190,2016-04-30,lima,lima,independencia,relampagos
130262,2016-05-03,lima,lima,independencia,relampagos
130267,2016-05-04,lima,lima,independencia,relampagos
130269,2016-05-04,lima,lima,san isidro,relampagos
130288,2016-05-04,lima,lima,independencia,relampagos
130328,2016-05-05,lima,lima,independencia,relampagos
130357,2016-05-05,lima,lima,independencia,relampagos
130373,2016-05-05,lima,lima,independencia,relampagos
130400,2016-05-06,lima,lima,independencia,relampagos
130404,2016-05-06,lima,lima,independencia,relampagos
130405,2016-05-06,lima,lima,independencia,relampagos
130411,2016-05-06,lima,lima,santiago de surco,relampagos
130470,2016-05-09,lima,lima,independencia,relampagos
130472,2016-05-09,lima,lima,independencia,relampagos
130519,2016-05-09,lima,lima,independencia,relampagos
130528,2016-05-09,lima,lima,independencia,relampagos
130561,2016-05-10,lima,lima,santiago de surco,relampagos
130608,2016-05-10,lima,lima,san isidro,relampagos
130644,2016-05-11,lima,lima,independencia,relampagos
130654,2016-05-11,lima,lima,independencia,relampagos
130659,2016-05-11,lima,lima,independencia,relampagos
130691,2016-05-12,lima,lima,independencia,relampagos
130746,2016-05-12,lima,lima,independencia,relampagos
130781,2016-05-13,lima,lima,independencia,relampagos
130801,2016-05-13,lima,lima,santiago de surco,relampagos
130851,2016-05-16,lima,lima,independencia,relampagos
130855,2016-05-16,lima,lima,san isidro,relampagos
130887,2016-05-16,lima,lima,independencia,relampagos
130910,2016-05-16,lima,lima,independencia,relampagos
130913,2016-05-16,lima,lima,independencia,relampagos
130982,2016-05-17,lima,lima,independencia,relampagos
131009,2016-05-17,lima,lima,independencia,relampagos
131062,2016-05-19,callao,callao,bellavista,relampagos
131131,2016-05-19,lima,lima,independencia,relampagos
131133,2016-05-19,lima,lima,independencia,relampagos
131216,2016-05-21,lima,lima,independencia,relampagos
131272,2016-05-23,callao,callao,bellavista,relampagos
131305,2016-05-23,lima,lima,independencia,relampagos
