VentaID;Marca;Modelo;PrecioAuto
123424;kia;rio;12090
123440;hyundai;grand i10;12090
123444;kia;rio;12090
123452;hyundai;hd78;33600
123466;hyundai;elantra;15900
123537;kia;cerato;16800
123538;kia;rio;12090
123573;kia;rio;12090
123588;hyundai;tucson;30000
123618;kia;rio;13800
123619;kia;sportage;19200
123646;kia;sportage;21600
123660;kia;rio;12090
123669;kia;rio;16800
123688;hyundai;santa fe;12090
123704;kia;rio;12090
123716;kia;cerato;15900
123717;foton;view;13800
123724;kia;rio;12090
123737;hyundai;accent;13800
123739;chevrolet;captiva;28200
123741;suzuki;vitara;19200
123755;kia;rio;12090
123795;hyundai;h-100 truck;21600
123796;suzuki;ertiga;16800
123841;hyundai;santa fe;15900
123857;kia;rio;13800
123893;mazda;mazda 2;13800
123896;mazda;mazda 2;15900
123929;hyundai;h-1 3 van;13800
123947;mitsubishi;outlander;16800
124003;kia;rio;12090
124032;kia;rio;12090
124033;hyundai;accent;12090
124038;kia;rio;12090
124078;suzuki;grand vitara;19200
124080;kia;rio;12090
124087;chevrolet;n300;12090
124113;kia;rio;12090
124166;hyundai;elantra;15900
124168;chevrolet;n300;12090
124226;citroen;jumper;16800
124234;kia;cerato;15900
124236;kia;rio;12090
124332;hyundai;h-1 mbus;28200
124340;hyundai;grand i10;13800
124348;hyundai;accent;12090
124349;kia;rio;12090
124375;hyundai;accent;12090
124376;hyundai;accent;13800
124423;kia;rio;16800
124462;suzuki;grand vitara;16800
124465;chevrolet;captiva;12090
124521;kia;rio;12090
124527;hyundai;genesis coupe;19200
124537;kia;rio;12090
124545;hyundai;elantra;16800
124554;jinbei;h2l;13800
124566;hyundai;elantra;16800
124625;kia;rio;15900
124645;chevrolet;n300;13800
124693;hyundai;elantra;19200
124711;kia;cerato;15900
124737;hyundai;accent;12090
124793;hyundai;accent;12090
124795;kia;rio;12090
124879;hyundai;accent;16800
124893;kia;sportage;24000
124984;mazda;mazda 2;12090
124989;hyundai;elantra;12090
124991;chevrolet;n300;12090
125036;volkswagen;gol;12090
125042;hyundai;creta;19200
125046;kia;rio;16800
125064;kia;cerato;12090
125066;kia;rio;12090
125074;kia;rio;13800
125092;mazda;mazda 2;12090
125150;mazda;mazda 2;12090
125156;hyundai;i20;12090
125173;kia;rio;12090
125187;hyundai;i20;12090
125228;kia;rio;13800
125229;kia;rio;12090
125232;hyundai;i20;12090
125236;hyundai;h-1 3 van;15900
125245;hyundai;h-1 3 van;15900
125280;kia;cerato;12090
125306;jac;refine;16800
125333;kia;cerato;16800
